7417d0c5eecfc30e1e0812f39d5a3962c3e58d6907a03af8508e21d3d9eb8987,Index,Spent?,Remixed?,Remix-wtxid,Remix-index,Date,Merge-mix?,n-merged,Type-Merged,Add-Reuse?,n-RU,Merged?,n-merged,oldest-m,newest-m,dust?,n-dust,change?,n-change,n-out,addr-type,re-use?,n-ru,Comments
41,bc1q4ekxtqeeu3gzh9r8dwzs74na0h94zcw9dch3dx 0.60499956 $2146.24,,,,,,,,,,,,,,,,,,,,,,,
42,bc1qmg2m32yzu8qgughz2hth8898pjta2nuappvpfr 0.01251440 $44.40,,,,,,,,,,,,,,,,,,,,,,,
43,bc1qxtdd0fa6u0pedu9ax94dzdhqqfrl42j5e93fq8 4.05902731 $14399.40,,,,,,,,,,,,,,,,,,,,,,,
44,bc1qzt0czn9rmamm84wpvx3r9whn6t7ywvsr56edyu 6.99987790 $24832.10,,,,,,,,,,,,,,,,,,,,,,,
45,bc1q0l0mru0zcah2vxhtz9tcm4mm0asahmj3dn8z3p 0.54999903 $1951.13,,,,,,,,,,,,,,,,,,,,,,,
46,bc1q8y29mfa3urmn7gzmth02n6vnpd7n3chacd60qv 8.83101920 $31328.10,,,,,,,,,,,,,,,,,,,,,,,
47,bc1qxtjlvgt3zc9q606kylcl2d7j5q5awhtja7erh6 0.44175623 $1567.13,,,,,,,,,,,,,,,,,,,,,,,
48,bc1q9cq6y0tflnhyznnlclz66lc2rwh0cpg2jflltt 5.69996294 $20220.70,,,,,,,,,,,,,,,,,,,,,,,
49,bc1qhay6vkz6vcc3tntuh3uy49yav3lz0d492zn3g7 0.96194359 $3412.50,,,,,,,,,,,,,,,,,,,,,,,
50,bc1qff2c9mmqpywz4gsvcgnyhmumww0r5ej7jjj42n 3.35976731 $11918.80,,,,,,,,,,,,,,,,,,,,,,,
51,bc1qqntd759q3rcjxdhk7hkuz3sxaeg9san5qad34h 0.29999907 $1064.25,,,,,,,,,,,,,,,,,,,,,,,
52,bc1qt5yn4xfcm7vpw7yw3dsgdcv2dkpxmmkhpt3lrq 0.09999804 $354.74,,,,,,,,,,,,,,,,,,,,,,,
53,bc1qt43qf2r8y4z3xjxd0py9zfd645x8pmwltry9tq 0.27765366 $984.98,,,,,,,,,,,,,,,,,,,,,,,
54,bc1qscewnjuhjygazvu74clekg5a9385xr8els7q0w 0.19599866 $695.31,,,,,,,,,,,,,,,,,,,,,,,
55,bc1qur8ukgucv4wd2jjghekxwhs03xt0p8c3255l5q 0.07999866 $283.80,,,,,,,,,,,,,,,,,,,,,,,
56,bc1q5j4d3ucdnnq3f60dw8qznehas2cm5u3z2xpcn7 0.06941043 $246.23,,,,,,,,,,,,,,,,,,,,,,,
57,bc1qqnp2sw9qn8h87hlnq7vl07k3umy2s5zey0cjgm 1.60000033 $5676.02,,,,,,,,,,,,,,,,,,,,,,,
58,bc1qxm2petns0r2mhznql8pl03jdcfafv75zf30sxq 1.50054506 $5323.20,,,,,,,,,,,,,,,,,,,,,,,
59,bc1qe5qk4cy2gf9wl5lezug3sgdcarjnan99h58a3e 5.90003120 $20930.40,,,,,,,,,,,,,,,,,,,,,,,
60,bc1qhh2f4p950e89sy0resjl3c5fwuhds04hd95qcu 1.88950923 $6703.05,,,,,,,,,,,,,,,,,,,,,,,
61,bc1q5g2hy33dphd7axjuqqv76kqj32luzyysuwq457 1.75992720 $6243.36,,,,,,,,,,,,,,,,,,,,,,,
62,bc1q0g768p8hrvgjzn40hpjsvfydgezs2ptythjk67 0.09949639 $352.96,,,,,,,,,,,,,,,,,,,,,,,
63,bc1qpqjtjhyfppc2lpd9kp8a2qs90uttycexkskd95 0.69999944 $2483.26,,,,,,,,,,,,,,,,,,,,,,,
64,bc1qs604c7jv6amk4cxqlnvuxv26hv3e48cds4m0ew 0.00383280 $13.60,,,,,,,,,,,,,,,,,,,,,,,
